ensembl_transcript_id	chrom	start	end	gene_symbol
ENST00000007708	17	50110095	50110097	PDK2
ENST00000007722	17	50089263	50089265	ITGA3
ENST00000007735	17	41346119	41346121	KRT33A
ENST00000007735	17	41346119	41346121	KRT33A
ENST00000007735	17	41346119	41346121	KRT33A
ENST00000007969	12	6913001	6913003	LRRC23
ENST00000008180	16	3069353	3069355	IL32
ENST00000008391	6	50772862	50772864	TFAP2D
ENST00000008440	1	231351604	231351606	SPRTN
ENST00000008527	12	106992787	106992789	CRY1
ENST00000008938	19	46019238	46019240	PGLYRP1
ENST00000009041	7	38228852	38228854	STARD3NL
ENST00000009105	1	209612873	209612875	CAMK1G
ENST00000009180	12	6237826	6237828	CD9
ENST00000009530	5	150402240	150402242	CD74
ENST00000009589	8	56073090	56073092	RPS20
ENST00000011292	7	130388009	130388011	CPA1
ENST00000011473	7	106091805	106091807	SYPL1
ENST00000011619	6	13622362	13622364	RANBP9
ENST00000011653	12	6819327	6819329	CD4
ENST00000011684	12	6328143	6328145	PLEKHG6
ENST00000011691	3	42594507	42594509	SS18L2
ENST00000011700	1	12509022	12509024	VPS13D
ENST00000011898	12	3283114	3283116	TSPAN9
ENST00000012049	19	45703047	45703049	QPCTL
ENST00000012134	6	142753107	142753109	HIVEP2
ENST00000012443	19	46390344	46390346	PPP5C
ENST00000013034	17	51161843	51161845	NME1
ENST00000013034	17	51161843	51161845	NME1
ENST00000013034	17	51161843	51161845	NME1
ENST00000013070	14	93227033	93227035	UBR7
ENST00000013125	14	50420019	50420021	MAP4K5
ENST00000013222	7	30755849	30755851	INMT
ENST00000013807	19	45413548	45413550	ERCC1
ENST00000013894	3	43699361	43699361	ABHD5
ENST00000013894	3	43699502	43699503	ABHD5
ENST00000014914	12	12912537	12912539	GPRC5A
ENST00000014930	12	12975308	12975310	HEBP1
ENST00000014935	X	154402707	154402709	DNASE1L1
ENST00000016171	10	99714587	99714589	COX15
ENST00000016913	11	60507122	60507124	MS4A12
ENST00000016946	2	109855894	109855896	RGPD5
ENST00000017003	17	50360289	50360291	XYLT2
ENST00000019019	X	48483016	48483018	FTSJ1
ENST00000019103	2	119440117	119440119	SCTR
ENST00000019317	18	9535935	9535937	RALBP1
ENST00000020673	10	102403200	102403202	PSD
ENST00000020926	11	45244052	45244054	SYT13
ENST00000020945	8	48918807	48918809	SNAI2
ENST00000022615	8	42405460	42405462	VDAC3
ENST00000023064	19	32830620	32830622	SLC7A9
ENST00000023897	5	161897420	161897422	GABRA1
ENST00000024061	8	141211442	141211444	SLC45A4
ENST00000025008	8	52623782	52623784	RB1CC1
ENST00000025301	13	42319226	42319228	AKAP11
ENST00000025399	12	15902976	15902978	STRAP
ENST00000026218	16	583632	583634	PIGQ
ENST00000027335	8	94128240	94128242	CDH17
ENST00000028008	6	166946731	166946733	RNASET2
ENST00000029410	5	177609693	177609695	B4GALT7
ENST00000031146	14	69458591	69458593	SLC39A9
ENST00000033079	5	137940225	137940227	FAM13B
ENST00000034275	19	5917610	5917612	RANBP3
ENST00000035307	7	151238679	151238681	CHPF2
ENST00000037243	16	75577367	75577369	GABARAPL2
ENST00000037502	1	171635925	171635927	MYOC
ENST00000037869	2	70297289	70297291	FAM136A
ENST00000038176	8	58584106	58584108	NSMAF
ENST00000039007	X	38421080	38421082	OTC
ENST00000039989	11	43493902	43493904	TTC17
ENST00000040584	12	54011379	54011381	HOXC8
ENST00000040663	19	13772279	13772281	MRI1
ENST00000040738	4	13570011	13570013	BOD1L1
ENST00000040877	1	234391577	234391579	TARBP1
ENST00000042381	16	67546461	67546463	RIPOR1
ENST00000043402	22	20241711	20241713	RTN4R
ENST00000044462	15	78548942	78548944	PSMA4
ENST00000045347	14	88438420	88438422	SPATA7
ENST00000046087	7	49937528	49937530	ZPBP
ENST00000046640	17	3660367	3660369	CTNS
ENST00000046794	5	170248697	170248699	LCP2
ENST00000052569	6	117563254	117563256	GOPC
ENST00000052754	12	91146058	91146060	DCN
ENST00000053243	16	11967845	11967847	TNFRSF17
ENST00000053468	6	42208289	42208291	MRPS10
ENST00000053867	17	44352796	44352798	GRN
ENST00000054650	1	6633075	6633077	THAP3
ENST00000054666	1	7779643	7779645	VAMP3
ENST00000054950	11	32104470	32104472	RCN1
ENST00000055077	7	74232106	74232108	RFC2
ENST00000055335	X	49287088	49287090	PPP1R3F
ENST00000055682	X	74739405	74739407	NEXMIF
ENST00000056217	7	144380054	144380056	ARHGEF5
ENST00000056233	7	26185781	26185783	NFE2L3
ENST00000057513	4	121132631	121132633	TNIP3
ENST00000060969	1	114774271	114774273	SIKE1
ENST00000061240	4	166100874	166100876	TLL1
ENST00000064571	20	55998557	55998559	CBLN4
ENST00000064724	3	170432754	170432756	CLDN11
ENST00000064778	11	73407531	73407533	FAM168A
ENST00000064780	11	73395489	73395491	RELT
ENST00000066544	17	47120935	47120937	CDC27
ENST00000070846	12	32792424	32792426	PKP2
ENST00000072516	3	190648703	190648705	IL1RAP
ENST00000072644	1	53860064	53860066	YIPF1
ENST00000072869	7	140694801	140694803	ADCK2
ENST00000075120	12	7921413	7921415	SLC2A3
ENST00000075322	8	119557521	119557523	ENPP2
ENST00000075430	18	79753669	79753671	CTDP1
ENST00000075503	12	10620144	10620146	STYK1
ENST00000078429	19	3121177	3121179	GNA11
ENST00000078445	19	4171967	4171969	CREB3L3
ENST00000078527	1	26797842	26797844	PIGV
ENST00000080059	12	47783841	47783843	HDAC7
ENST00000081029	12	27755448	27755450	MRPS35
ENST00000083182	17	60447581	60447583	APPBP2
ENST00000084795	19	48615372	48615374	RPL18
ENST00000084798	19	48638119	48638121	CA11
ENST00000085068	19	55453308	55453310	ISOC2
ENST00000085079	19	55695354	55695356	EPN1
ENST00000085219	19	35346695	35346697	CD22
ENST00000086933	22	19148991	19148993	GSC2
ENST00000155093	Y	2979991	2979993	ZFY
ENST00000155674	22	17138021	17138023	HDHD5
ENST00000155840	11	2848001	2848003	KCNQ1
ENST00000155926	2	12740792	12740794	TRIB2
ENST00000156084	X	48923174	48923176	OTUD5
ENST00000156109	X	49113621	49113623	GPKOW
ENST00000156471	15	34856792	34856794	AQR
ENST00000156476	19	51058672	51058674	KLK13
ENST00000156499	19	51078007	51078009	KLK14
ENST00000156499	19	51078007	51078009	KLK14
ENST00000156626	17	76625330	76625332	ST6GALNAC1
ENST00000156825	19	1578340	1578342	MBD3
ENST00000157600	3	8567596	8567598	LMCD1
ENST00000157812	19	39981303	39981305	PSMC4
ENST00000158009	17	35130432	35130434	FNDC8
ENST00000158166	17	3865904	3865906	CAMKK1
ENST00000158762	17	7351393	7351395	ACAP1
ENST00000158771	17	5474684	5474686	DERL2
ENST00000159060	6	155396836	155396838	NOX3
ENST00000159087	19	17323517	17323519	ANO8
ENST00000159111	19	5151509	5151511	KDM4B
ENST00000159647	22	50179258	50179260	PANX2
ENST00000160262	19	10333857	10333859	ICAM3
ENST00000160298	19	7618055	7618057	CAMSAP3
ENST00000160373	7	117711537	117711539	CTTNBP2
ENST00000160382	7	100643246	100643248	ACTL6B
ENST00000160740	19	42295189	42295191	CIC
ENST00000160827	16	29805308	29805310	KIF22
ENST00000161006	16	2853093	2853095	PRSS22
ENST00000161559	19	42509109	42509111	CEACAM1
ENST00000161863	5	113593381	113593383	YTHDC2
ENST00000162044	19	19119930	19119932	TMEM161A
ENST00000162330	16	75229511	75229513	BCAR1
ENST00000162391	12	8052848	8052850	FOXJ2
ENST00000162749	12	6329312	6329314	TNFRSF1A
ENST00000163416	14	92839444	92839446	GOLGA5
ENST00000163678	16	8635269	8635271	METTL22
ENST00000164024	3	48638205	48638207	CELSR3
ENST00000164133	11	64933842	64933844	PPP2R5B
ENST00000164139	11	64746659	64746661	PYGM
ENST00000164227	19	44759613	44759615	BCL3
ENST00000164247	1	6098572	6098574	KCNAB2
ENST00000164305	15	55355430	55355432	PIGB
ENST00000164640	X	153803353	153803355	PDZD4
ENST00000165698	2	86217100	86217102	REEP1
ENST00000166139	19	681706	681708	FSTL3
ENST00000166244	1	22601739	22601741	EPHA8
ENST00000166345	5	917101	917103	TRIP13
ENST00000166534	5	132193010	132193012	P4HA2
ENST00000167106	14	76779016	76779018	VASH1
ENST00000167218	6	170578963	170578965	PDCD2
ENST00000167462	17	75574904	75574906	LLGL2
ENST00000167586	17	41582435	41582437	KRT14
ENST00000167588	17	40876361	40876363	KRT20
ENST00000167825	1	17691152	17691154	ARHGEF10L
ENST00000168148	2	234070011	234070013	SPP2
ENST00000168216	X	53431404	53431406	HSD17B10
ENST00000168712	11	69773309	69773311	FGF4
ENST00000168869	16	274047	274049	RGS11
ENST00000168977	19	3942271	3942273	NMRK2
ENST00000169293	3	187247333	187247335	MASP1
ENST00000169298	3	187075801	187075803	ST6GAL1
ENST00000169551	18	74158478	74158480	TIMM21
ENST00000170150	20	33023381	33023383	BPIFB2
ENST00000170168	19	1816066	1816068	REXO1
ENST00000170447	3	12582251	12582253	MKRN2
ENST00000170564	19	33130158	33130160	GPATCH1
ENST00000171111	19	10486652	10486654	KEAP1
ENST00000171757	X	78961538	78961540	P2RY10
ENST00000171887	2	217804459	217804461	TNS1
ENST00000172229	17	49513007	49513009	NGFR
ENST00000173229	17	9239966	9239968	NTN1
ENST00000173527	5	129112999	129113001	ISOC1
ENST00000173898	X	54931018	54931020	TRO
ENST00000174618	17	2386901	2386903	MNT
ENST00000175091	2	20033205	20033207	LAPTM4A
ENST00000175238	8	24507534	24507535	ADAM7
ENST00000175238	8	24508546	24508546	ADAM7
ENST00000175756	2	130373222	130373224	PTPN18
ENST00000176183	11	640601	640603	DRD4
ENST00000176195	11	626431	626433	SCT
ENST00000176643	17	19675570	19675572	ALDH3A2
ENST00000176763	5	172044882	172044884	STK10
ENST00000177648	4	112441208	112441210	ALPK1
ENST00000177694	17	47745364	47745366	TBX21
ENST00000177742	16	1772221	1772223	MRPS34
ENST00000178638	15	63326285	63326287	CA12
ENST00000178640	15	67806748	67806750	MAP2K5
ENST00000179259	12	4352689	4352691	TIGAR
ENST00000180166	8	16993072	16993074	FGF20
ENST00000180173	8	17299862	17299864	MTMR7
ENST00000181383	13	46053614	46053616	CPB2
ENST00000181796	10	14521190	14521192	FAM107B
ENST00000181839	7	40094978	40094980	CDK13
ENST00000182290	11	2317922	2317924	TSPAN32
ENST00000182377	12	29333792	29333794	FAR2
ENST00000182527	6	52503197	52503199	TRAM2
ENST00000183605	3	138031139	138031141	CLDN18
ENST00000184183	3	123969155	123969157	ROPN1
ENST00000184266	3	120602268	120602270	NDUFB4
ENST00000184956	17	60043563	60043565	HEATR6
ENST00000185150	2	53817967	53817969	ERLEC1
ENST00000185206	6	45903088	45903090	CLIC5
ENST00000186436	2	97757099	97757101	TMEM131
ENST00000187397	3	35793956	35793958	ARPP21
ENST00000187608	19	41585869	41585871	CEACAM21
ENST00000187762	19	16688369	16688371	TMEM38A
ENST00000187830	19	44647353	44647355	PVR
ENST00000187879	19	44033028	44033030	ZNF222
ENST00000187910	19	42902412	42902414	PSG6
ENST00000188312	12	100223913	100223915	ACTR6
ENST00000188376	12	98601526	98601528	SLC25A3
ENST00000188403	12	100563487	100563489	NR1H4
ENST00000188790	2	162170979	162170981	FAP
ENST00000189444	10	102402374	102402376	NFKB2
ENST00000189978	9	110800986	110800988	MUSK
ENST00000190165	9	991003	991005	DMRT3
ENST00000190611	2	178395557	178395559	OSBPL6
ENST00000190983	20	44727305	44727307	CCN5
ENST00000191018	20	45898448	45898450	CTSA
ENST00000191063	10	5878222	5878224	ANKRD16
ENST00000192314	2	241804164	241804166	GAL3ST2
ENST00000192314	2	241804164	241804166	GAL3ST2
ENST00000192788	6	34872436	34872438	BLTP3A
ENST00000193322	6	108044785	108044787	OSTM1
ENST00000193391	3	101226969	101226971	IMPG2
ENST00000193403	14	68874859	68874861	ACTN1
ENST00000194118	5	141938757	141938759	DELE1
ENST00000194130	7	123115518	123115520	SLC13A1
ENST00000194152	5	141124384	141124386	PCDHB4
ENST00000194155	5	141097185	141097187	PCDHB2
ENST00000194214	1	53921651	53921653	IFT25
ENST00000194530	2	201480173	201480175	STRADB
ENST00000194672	6	70480934	70480936	FAM135A
ENST00000194900	X	70502267	70502269	DLG3
ENST00000195649	6	83556153	83556155	SNAP91
ENST00000196061	1	11974806	11974808	PLOD1
ENST00000196169	13	60567639	60567641	TDRD3
ENST00000196371	5	41731729	41731731	OXCT1
ENST00000196482	19	58472152	58472154	ZNF324
ENST00000196489	19	57572119	57572121	ZNF416
ENST00000196551	19	58394748	58394750	RPS5
ENST00000197268	12	13080628	13080630	FAM234B
ENST00000198536	7	100399905	100399907	PILRA
ENST00000198767	16	15061744	15061746	RRN3
ENST00000198801	11	75731284	75731286	MOGAT2
ENST00000198939	19	16519159	16519161	CHERP
ENST00000199280	12	49955606	49955608	AQP2
ENST00000199320	5	62389010	62389012	DIMT1
ENST00000199389	7	6024673	6024675	EIF2AK1
ENST00000199447	7	37897090	37897092	NME8
ENST00000199448	7	37950394	37950396	EPDR1
ENST00000199706	16	367675	367677	MRPL28
ENST00000199708	16	181106	181108	HBQ1
ENST00000199764	19	41766257	41766259	CEACAM6
ENST00000199814	5	150691751	150691753	RBM22
ENST00000199936	16	82098434	82098436	HSD17B2
ENST00000199940	2	209730395	209730397	MAP2
ENST00000200135	11	113733694	113733696	ZW10
ENST00000200181	17	75757553	75757555	ITGB4
ENST00000200453	19	48875971	48875973	PPP1R15A
ENST00000200457	7	100873301	100873303	TRIP6
ENST00000200557	17	44779752	44779754	ADAM11
ENST00000200639	X	120431323	120431325	LAMP2
ENST00000200652	5	132343833	132343835	SLC22A4
ENST00000200676	16	56983664	56983666	CETP
ENST00000200691	16	56590947	56590949	MT3
ENST00000201031	20	56638011	56638013	TFAP2C
ENST00000201586	19	48599404	48599406	SULT2B1
ENST00000201647	19	55087612	55087614	EPS8L1
ENST00000201961	20	32485760	32485762	NOL4L
ENST00000201963	20	32807901	32807903	DNMT3B
ENST00000201979	20	31484428	31484430	REM1
ENST00000202017	20	31945807	31945809	PDRG1
ENST00000202028	20	36229338	36229340	EPB41L1
ENST00000202556	14	103735154	103735156	PPP1R13B
ENST00000202625	20	2432641	2432643	TGM6
ENST00000202677	20	20396730	20396732	RALGAPA2
ENST00000202773	12	112405224	112405226	RPL6
ENST00000202816	20	13714874	13714876	ESF1
ENST00000202834	20	5100791	5100793	TMEM230
ENST00000202917	12	112919551	112919553	OAS1
ENST00000202967	12	120313034	120313036	SIRT4
ENST00000203001	20	5938535	5938537	TRMT6
ENST00000203166	19	35622991	35622993	HAUS5
ENST00000203407	3	48599128	48599130	UQCRC1
ENST00000203556	19	19629963	19629965	GMIP
ENST00000203629	12	6778388	6778390	LAG3
ENST00000203630	12	6748795	6748797	MLF2
ENST00000203664	14	94045920	94045922	OTUB2
ENST00000204005	19	40629548	40629550	LTBP4
ENST00000204517	16	4258055	4258057	TFAP4
ENST00000204549	15	65118717	65118719	PDCD7
ENST00000204566	15	64963620	64963622	SPG21
ENST00000204604	3	184389420	184389422	CHRD
ENST00000204637	19	49480597	49480599	FLT3LG
ENST00000204679	16	1363089	1363091	GNPTG
ENST00000204726	12	132773105	132773107	GOLGA3
ENST00000204961	X	68840652	68840654	EFNB1
ENST00000205061	16	74452056	74452058	GLG1
ENST00000205135	19	39425292	39425294	PLEKHG2
ENST00000205143	19	39508011	39508013	DLL3
ENST00000205194	19	55486954	55486956	NAT14
ENST00000205214	4	56338402	56338404	AASDH
ENST00000205386	7	108024039	108024041	LAMB4
ENST00000205402	7	107919257	107919259	DLD
ENST00000205557	16	16150133	16150135	ABCC6
ENST00000205636	3	32483960	32483962	CMTM6
ENST00000205948	17	66212133	66212135	APOH
ENST00000206020	17	4959534	4959536	SPAG7
ENST00000206249	6	152098964	152098966	ESR1
ENST00000206262	6	153011574	153011576	RGS17
ENST00000206380	17	44011928	44011930	TMEM101
ENST00000206423	3	112605417	112605419	CCDC80
ENST00000206446	14	24505516	24505518	CMA1
ENST00000206446	14	24505516	24505518	CMA1
ENST00000206451	14	24138814	24138816	PSME1
ENST00000206474	14	22946525	22946527	HAUS4
ENST00000206513	14	23117487	23117489	CEBPE
ENST00000206542	14	20447240	20447242	OSGEP
ENST00000206595	14	30616532	30616534	G2E3
ENST00000206765	14	24249313	24249315	TGM1
ENST00000207157	1	118884732	118884734	TBX15
ENST00000207457	1	36088184	36088186	TEKT2
ENST00000207549	17	75827965	75827967	UNC13D
ENST00000207636	22	19964224	19964226	COMT
ENST00000207870	3	38413011	38413013	XYLB
ENST00000209540	19	15088131	15088133	OR1I1
ENST00000209668	4	99276624	99276626	ADH1A
ENST00000209718	17	40922989	40922991	KRT23
ENST00000209728	17	40301999	40302001	CDC6
ENST00000209873	12	53307489	53307491	AAAS
ENST00000209875	12	54241755	54241757	CBX5
ENST00000209884	1	173785245	173785247	KLHL20
ENST00000209929	1	171209143	171209145	FMO2
ENST00000210060	19	12675838	12675840	DHPS
ENST00000210187	16	2153419	2153421	RAB26
ENST00000210313	9	120817906	120817908	PSMD5
ENST00000210444	9	98083053	98083055	NANS
ENST00000210633	10	100984129	100984131	SEMA4G
ENST00000211076	16	1258374	1258376	TPSD1
ENST00000211122	6	52896806	52896808	GSTA3
ENST00000211287	6	36139371	36139373	MAPK13
ENST00000211314	6	52686047	52686049	TMEM14A
ENST00000211379	6	31639131	31639133	BAG6
ENST00000211413	6	32149222	32149224	PRRT1
ENST00000211921	6	31588583	31588585	LST1
ENST00000211998	10	74118167	74118169	VCL
ENST00000212015	10	67916591	67916593	SIRT1
ENST00000212355	1	91683739	91683741	TGFBR3
ENST00000214869	19	10832995	10832997	TMED1
ENST00000215057	19	58562072	58562074	MZF1
ENST00000215061	19	17228923	17228925	OCEL1
ENST00000215071	19	38383388	38383390	PSMD8
ENST00000215095	16	30992821	30992823	STX1B
ENST00000215115	16	30887865	30887867	BCL7C
ENST00000215368	19	1299943	1299945	EFNA2
ENST00000215375	19	1244435	1244437	ATP5F1D
ENST00000215473	Y	5100738	5100740	PCDH11Y
ENST00000215530	19	643602	643604	FGF22
ENST00000215531	19	3474843	3474845	SMIM24
ENST00000215539	16	1790600	1790602	IGFALS
ENST00000215555	19	8438544	8438546	MARCHF2
ENST00000215565	19	14566133	14566135	NDUFB7
ENST00000215567	19	14565869	14565871	TECR
ENST00000215570	19	2426948	2426950	TIMM13
ENST00000215574	19	541550	541552	CDC34
ENST00000215582	19	763588	763590	MISP
ENST00000215587	19	1089526	1089528	POLR2E
ENST00000215631	19	2477599	2477601	GADD45B
ENST00000215637	19	504963	504965	MADCAM1
ENST00000215659	22	50253401	50253403	MAPK12
ENST00000215727	22	20787064	20787066	SERPIND1
ENST00000215730	22	20887834	20887836	SNAP29
ENST00000215742	22	20999880	20999882	THAP7
ENST00000215743	22	23783542	23783544	MMP11
ENST00000215754	22	23895104	23895106	MIF
ENST00000215770	22	23971404	23971406	DDTL
ENST00000215781	22	30263883	30263885	OSM
ENST00000215790	22	30292375	30292377	TBC1D10A
ENST00000215793	22	30334594	30334596	SF3A1
ENST00000215794	22	18176815	18176817	USP18
ENST00000215798	22	30379604	30379606	RNF215
ENST00000215812	22	30460021	30460023	SEC14L3
ENST00000215829	22	24571975	24571977	SNRPD3
ENST00000215832	22	21769204	21769206	MAPK1
ENST00000215838	22	30626519	30626521	TCN2
ENST00000215855	22	25207210	25207212	CRYBB3
ENST00000215862	22	30926803	30926805	MORC2
ENST00000215882	22	19176130	19176132	SLC25A1
ENST00000215885	22	31135723	31135725	PLA2G3
ENST00000215886	22	37570263	37570265	LGALS2
ENST00000215886	22	37570263	37570265	LGALS2
ENST00000215886	22	37570263	37570265	LGALS2
ENST00000215904	22	37665869	37665871	PDXP
ENST00000215906	22	26443204	26443206	ASPHD2
ENST00000215909	22	37679747	37679749	LGALS1
ENST00000215912	22	31283084	31283086	PIK3IP1
ENST00000215917	22	26491670	26491672	SRRD
ENST00000215919	22	31341405	31341407	PATZ1
ENST00000215941	22	37831943	37831945	ANKRD54
ENST00000215956	22	41674933	41674935	SNU13
ENST00000215957	22	37940828	37940830	MICALL1
ENST00000215980	22	41939056	41939058	CENPM
ENST00000216014	22	38482534	38482536	KDELR3
ENST00000216024	22	38520020	38520022	DMC1
ENST00000216027	22	28757167	28757169	HSCB
ENST00000216029	22	38673234	38673236	CBY1
ENST00000216034	22	38683839	38683841	TOMM22
ENST00000216036	22	23059462	23059464	RSPH14
ENST00000216037	22	28795546	28795548	XBP1
ENST00000216038	22	32387992	32387994	RTCB
ENST00000216039	22	38687902	38687904	JOSD1
ENST00000216044	22	38730702	38730704	GTPBP1
ENST00000216061	22	50444245	50444247	PPP6R2
ENST00000216068	22	38779449	38779451	DNAL4
ENST00000216071	22	29058742	29058744	C22orf31
ENST00000216075	22	50489854	50489856	MIOX
ENST00000216080	22	50503391	50503393	LMF2
ENST00000216083	22	38866209	38866211	CBX6
ENST00000216085	22	29260060	29260062	RHBDD3
ENST00000216099	22	39032314	39032316	APOBEC3D
ENST00000216101	22	29313301	29313303	RASL10A
ENST00000216106	22	35293649	35293651	HMGXB4
ENST00000216115	22	43129303	43129305	BIK
ENST00000216117	22	35393596	35393598	HMOX1
ENST00000216121	22	29555935	29555937	NIPSNAP1
ENST00000216122	22	35424253	35424255	MCM5
ENST00000216124	22	50625145	50625147	ARSA
ENST00000216127	22	35552030	35552032	RASD2
ENST00000216129	22	43168008	43168010	TTLL12
ENST00000216133	22	39133891	39133893	CBX7
ENST00000216139	22	50745205	50745207	ACR
ENST00000216144	22	29729567	29729569	CABP7
ENST00000216146	22	39312940	39312942	RPL3
ENST00000216155	22	39375953	39375955	SYNGR1
ENST00000216155	22	39375953	39375955	SYNGR1
ENST00000216155	22	39375953	39375955	SYNGR1
ENST00000216160	22	39430220	39430222	TAB1
ENST00000216177	22	43880795	43880797	PNPLA5
ENST00000216180	22	43946380	43946382	PNPLA3
ENST00000216181	22	36282668	36282670	MYH9
ENST00000216185	22	36467804	36467806	TXN2
ENST00000216187	22	36490008	36490010	FOXRED2
ENST00000216190	22	36510987	36510989	EIF3D
ENST00000216194	22	40366520	40366522	ADSL
ENST00000216200	22	36800890	36800892	PVALB
ENST00000216211	22	45295717	45295719	UPK3A
ENST00000216214	22	45340403	45340405	FAM118A
ENST00000216218	22	40826538	40826540	ST13
ENST00000216223	22	37128096	37128098	IL2RB
ENST00000216225	22	40972486	40972488	RBX1
ENST00000216237	22	41230249	41230251	L3MBTL2
ENST00000216241	22	41229704	41229706	CHADL
ENST00000216252	22	41460398	41460400	PHF5A
ENST00000216254	22	41528611	41528613	ACO2
ENST00000216259	22	41577318	41577320	PMM1
ENST00000216264	22	46687134	46687136	CERK
ENST00000216267	22	49774233	49774235	BRD1
ENST00000216268	22	49887176	49887178	ZBED4
ENST00000216271	22	50245507	50245509	HDAC10
ENST00000216274	14	24336175	24336177	RIPK3
ENST00000216277	14	96565048	96565050	PAPOLA
ENST00000216281	14	102081712	102081714	HSP90AA1
ENST00000216286	14	52005486	52005488	NID2
ENST00000216288	14	103503225	103503227	MARK3
ENST00000216294	14	61794981	61794983	SNAPC1
ENST00000216297	14	21352673	21352675	SUPT16H
ENST00000216327	14	22604085	22604087	ABHD4
ENST00000216330	14	45116198	45116200	FKBP3
ENST00000216336	14	24573637	24573639	CTSG
ENST00000216338	14	24606603	24606605	GZMH
ENST00000216341	14	24631071	24631073	GZMB
ENST00000216350	14	22920904	22920906	PRMT5
ENST00000216361	14	30889789	30889791	COCH
ENST00000216366	14	31083633	31083635	AP4S1
ENST00000216367	14	49643652	49643654	POLE2
ENST00000216373	14	50118344	50118346	SOS2
ENST00000216378	14	50332660	50332662	CDKL1
ENST00000216392	14	50905392	50905394	PYGL
ENST00000216410	14	52778311	52778313	GNPNAT1
ENST00000216416	14	54427814	54427816	CNIH1
ENST00000216420	14	54538381	54538383	CGRRF1
ENST00000216442	14	67338621	67338623	ATP6V1D
ENST00000216445	14	57471355	57471357	CCDC198
ENST00000216446	14	67387329	67387331	PLEK2
ENST00000216450	14	76844872	76844874	LRRC74A
ENST00000216452	14	67590080	67590082	PIGH
ENST00000216455	14	58271893	58271895	PSMA3
ENST00000216456	14	67663171	67663173	VTI1B
ENST00000216465	14	77331193	77331195	GSTZ1
ENST00000216468	14	77341771	77341773	TMED8
ENST00000216471	14	77391242	77391244	SAMD15
ENST00000216479	14	77469247	77469249	AHSA1
ENST00000216481	14	77498239	77498241	ISM2
ENST00000216484	14	77512284	77512286	SPTLC2
ENST00000216487	14	92688250	92688252	RIN3
ENST00000216489	14	77673812	77673814	ALKBH1
ENST00000216492	14	92934882	92934884	CHGA
ENST00000216500	14	60144966	60144968	DHRS7
ENST00000216513	14	60713407	60713409	SIX4
ENST00000216517	14	80830185	80830187	CEP128
ENST00000216540	14	69776282	69776284	SLC10A1
ENST00000216554	14	103341050	103341052	EIF5
ENST00000216568	14	70045947	70045949	SLC8A3
ENST00000216602	14	103733016	103733018	ZFYVE21
ENST00000216629	14	96264742	96264744	BDKRB1
ENST00000216639	14	96881206	96881208	VRK1
ENST00000216658	14	73263983	73263985	PAPLN
ENST00000216714	14	20457506	20457508	APEX1
ENST00000216727	14	23325284	23325286	PABPN1
ENST00000216733	14	23357226	23357228	EFS
ENST00000216756	14	102348557	102348559	CINP
ENST00000216774	14	35029150	35029152	SRP54
ENST00000216780	14	24103962	24103964	PCK2
ENST00000216797	14	35402013	35402015	NFKBIA
